elements,file_bytes,iteration,write_us,parse_us
512,4140,0,90.462,37.582
512,4140,1,132.842,38.002
512,4140,2,91.083,37.651
512,4140,3,87.777,37.621
512,4140,4,87.176,37.842
512,4140,5,87.046,37.601
512,4140,6,87.657,37.692
512,4140,7,87.596,37.562
512,4140,8,88.007,37.571
512,4140,9,94.519,37.762
512,4140,10,88.027,37.682
512,4140,11,87.376,37.802
512,4140,12,87.516,37.993
512,4140,13,86.715,37.601
512,4140,14,86.565,37.591
32768,262188,0,2600.07,2522.41
32768,262188,1,2583.62,2259.47
32768,262188,2,2619.41,2468.18
32768,262188,3,2567.69,2252.65
32768,262188,4,2588.31,2254.42
32768,262188,5,2566.4,2259.09
32768,262188,6,2554.8,2220.49
32768,262188,7,2605.52,2228.93
32768,262188,8,2632.91,2264.2
32768,262188,9,2661.76,2290.65
32768,262188,10,2606.87,2267.9
32768,262188,11,2579.24,2272.55
32768,262188,12,2602.39,2283.44
32768,262188,13,2576.08,2234.8
32768,262188,14,2584.61,2278.6
131072,1048620,0,10002.1,9040.51
131072,1048620,1,10066.2,9247.49
131072,1048620,2,9996.35,9171.97
131072,1048620,3,10115.1,9096.95
131072,1048620,4,9942.18,9116.2
131072,1048620,5,10080.2,9221.38
131072,1048620,6,10181.5,9147.5
131072,1048620,7,10049,9372.07
131072,1048620,8,10115.5,9207.23
131072,1048620,9,10154.7,9139.37
131072,1048620,10,10037.6,9168.4
131072,1048620,11,10185.7,9159.65
131072,1048620,12,10134.6,9230.97
131072,1048620,13,10031.8,9207.61
131072,1048620,14,10077.1,9221.89
